Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Abroscopus albogularis,38.5,38.83333333,4.8,Mean,Scotocercidae,Passeriformes,15.3,43.4,38.7,38.7
Abroscopus schisticeps,47.33333333,48,4.7,Mean,Scotocercidae,Passeriformes,16.5,47.1,47.5,47.5
Abroscopus superciliaris,39.5,44.33333333,6.5,Mean,Scotocercidae,Passeriformes,16.6,51.2,42.4,42.4
Acanthagenys rufogularis,113,112.3333333,47.8,Mean,Meliphagidae,Passeriformes,25.1,111.1,111.4,111.4
Acanthidops bairdi,47,53.83333333,16,Mean,Thraupidae,Passeriformes,20.9,66,52.1,52.1
Acanthis cabaret,NA,58,12,Mean,Fringillidae,Passeriformes,14.2,72,58,58
Acanthis hornemanni,NA,65,13.9,Mean,Fringillidae,Passeriformes,16.8,84,65,65
Acanthisitta chloris,24.33333333,22.66666667,6.9,Mean,Acanthisittidae,Passeriformes,18,46,23.5,23.5
Acanthiza apicalis,45.6,44.6,7.6,Mean,Acanthizidae,Passeriformes,19,51,44.1,44.1
Acanthiza chrysorrhoa,39.5,38.5,9.3,Mean,Acanthizidae,Passeriformes,18,58.3,37.9,37.9
Acanthiza cinerea,NA,36.125,7.6,Mean,Acanthizidae,Passeriformes,19.2,52,32.4,32.4
Acanthiza ewingii,49.83333333,39,6.9,Mean,Acanthizidae,Passeriformes,21.5,52.2,46.4,46.4
Acanthiza inornata,36.8,36.83333333,7,Mean,Acanthizidae,Passeriformes,17.3,47.8,36.4,36.4
Acanthiza iredalei,39.6,42,6,Mean,Acanthizidae,Passeriformes,17.4,48.4,39.3,39.3
Acanthiza katherina,42.25,45,7.2,Mean,Acanthizidae,Passeriformes,18.1,52.1,41.1,41.1
Acanthiza lineata,38.88888889,39,6.9,Mean,Acanthizidae,Passeriformes,17.1,51.5,37.9,37.9
Acanthiza murina,37.5,32.75,8.4,Mean,Acanthizidae,Passeriformes,17.9,57.1,35,35
Acanthiza nana,37.3125,37.4,6.2,Mean,Acanthizidae,Passeriformes,17.2,49.1,36.8,36.8
Acanthiza pusilla,44.1,45.3,7.6,Mean,Acanthizidae,Passeriformes,18.7,51.8,43.4,43.4
Acanthiza reguloides,38.78571429,39.08333333,7.7,Mean,Acanthizidae,Passeriformes,16.7,52,38.9,38.9
Acanthiza robustirostris,40.7,40.5,6.1,Mean,Acanthizidae,Passeriformes,19.1,50.8,40.2,40.2
Acanthiza uropygialis,38.5,43,6.4,Mean,Acanthizidae,Passeriformes,18,51.8,38.3,38.3
Acanthorhynchus superciliosus,54.5,58.66666667,9.7,Mean,Meliphagidae,Passeriformes,19.9,61.3,54.3,54.3
Acanthorhynchus tenuirostris,53.33333333,60.83333333,10.4,Mean,Meliphagidae,Passeriformes,18,65.6,57.1,57.1
Acanthornis magna,48.25,48.33333333,10.2,Mean,Acanthizidae,Passeriformes,21.9,56,48,48
Achaetops pycnopygius,79.5,79.33333333,28.3,Mean,Macrosphenidae,Passeriformes,24.2,68.1,79.4,79.4
Acridotheres albocinctus,78.75,82,98.9,Mean,Sturnidae,Passeriformes,36.7,125.8,80.7,80.7
