species,Genus,abbreviation,Clade,wing_M,wing_F,tail_max_M,tail_max_F,tarsus_M,tarsus_F,weight_M,weight_F,tail_wires,AVONET_average_Wt,category
Astrapia_mayeri,Astrapia,AstMay,Core,179,156,893,309,40.9,39.4,147,132,N,139.3,long
Astrapia_nigra,Astrapia,AstNig,Core,185,170,569,310,41.7,40,NA,NA,N,190,long
Astrapia_rothschildi,Astrapia,AstRot,Core,188,164,443,256,41.8,40.1,207,159,N,181.4,long
Astrapia_splendidissima,Astrapia,AstSpl,Core,137,135,217,211,37.7,36.8,138,125,N,131.3,long
Astrapia_stephaniae,Astrapia,AstSte,Core,169,154,637,322,41.8,40,155,137,N,141.8,long
Cicinnurus_magnificus,Cicinnurus,CicMag,Core,115,110,275,60,31.5,30,97,82,Y,89.8,wired
Cicinnurus_regius,Cicinnurus,CicReg,Core,100,99,158,58,26.4,26.2,53,50,Y,51.6,wired
Cicinnurus_respublica,Cicinnurus,CicRes,Core,98,97,140,53,27.1,26.5,61,56,Y,58.4,wired
Drepanornis_albertisi,Drepanornis,DreAlb,Core,153,148,129,124,34.4,34,112,111,N,110,short
Drepanornis_bruijnii,Drepanornis,DreBru,Core,160,155,110,111,33,32.1,161,146,N,153.3,short
Epimachus_fastuosus,Epimachus,EpiFas,Core,201,171,735,298,50.9,47.2,277,195,N,232.9,long
Epimachus_meyeri,Epimachus,EpiMey,Core,182,157,706,294,50.2,45.5,234,166,N,220.5,long
Lophorina_superba,Lophorina,LopSup,Core,136,120,92,84,31.8,29.7,87,67,N,76.7,short
Lycocorax_pyrrhopterus,Lycocorax,LycPyr,Basal,198,192,145,140,44.1,43.3,302,267,N,283.9,short
Manucodia_ater,Manucodia,ManAtr,Basal,190,182,160,151,40.5,39.5,238,208,N,228,short
Manucodia_chalybatus,Manucodia,ManCha,Basal,173,167,141,136,37.8,37.1,223,209,N,215.9,short
Manucodia_comrii,Manucodia,ManCom,Basal,237,225,167,160,50.3,48.9,448,418,N,432.7,short
Manucodia_jobiensis,Manucodia,ManJob,Basal,176,169,133,127,37.1,36.1,228,180,N,202.6,short
Paradigalla_brevicauda,Paradigalla,ParBre,Core,158,150,53,68,44,41.9,173,163,N,167.9,short
Paradigalla_carunculata,Paradigalla,ParCaru,Core,186,165,160,132,49,45.6,NA,170,N,170,short
Paradisaea_apoda,Paradisaea,ParApo,Core,217,180,612,133,49.1,42.7,NA,172,Y,172,wired
Paradisaea_decora,Paradisaea,ParDec,Core,181,160,431,128,41.1,37.2,237,NA,Y,237,wired
Paradisaea_guilielmi,Paradisaea,ParGui,Core,177,158,557,106,44.5,40.3,256,NA,Y,256,wired
Paradisaea_minor,Paradisaea,ParMin,Core,191,163,487,114,45.2,40.4,254,165,Y,207.9,wired
Paradisaea_raggiana,Paradisaea,ParRag,Core,186,162,455,119,42.4,37.8,270,173,Y,212.6,wired
Paradisaea_rubra,Paradisaea,ParRub,Core,176,159,563,114,41.9,38.8,201,158,Y,178.2,wired
Paradisaea_rudolphi,Paradisaea,ParRud,Core,157,149,414,94,39.4,38,176,153,Y,164.1,wired
Parotia_carolae,Parotia,ParCaro,Core,155,144,77,92,50.3,46.3,205,138,N,163.2,short
Parotia_lawesii,Parotia,ParLaw,Core,155,148,80,98,49.6,46,167,144,N,161.4,short
Parotia_sefilata,Parotia,ParSef,Core,166,152,130,129,52.8,47.5,192,172,N,181.7,short
Parotia_wahnesi,Parotia,ParWah,Core,161,149,213,166,50.9,46.3,171,148,N,158,long
Phonygammus_keraudrenii,Phonygammus,PhoKer,Basal,167,160,130,124,36.1,35.1,171,151,N,154.7,short
Pteridophora_alberti,Pteridophora,PteAlb,Core,126,115,86,84,32.2,30.6,87,77,N,81.8,short
Ptiloris_intercedens,Ptiloris,PtiInt,Core,193,152,101,98,40.4,35.2,184,126,N,158,short
Ptiloris_magnificus,Ptiloris,PtiMag,Core,192,157,102,99,39.6,35.5,207,142,N,149.9,short
Ptiloris_paradiseus,Ptiloris,PtiPar,Core,160,144,98,91,33.3,32.3,141,104,N,119.5,short
Ptiloris_victoriae,Ptiloris,PtiVic,Core,139,125,81,78,32.1,30.3,105,86,N,95,short
Seleucidis_melanoleucus,Seleucidis,SelMel,Core,173,162,69,103,40.3,37.3,193,171,N,174.4,short
Semioptera_wallacii,Semioptera,SemWal,Core,157,144,82,86,41.8,39.3,163,135,N,148.3,short
